"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"RELIANCE","EQ","09-Jan-2012","714.75","714.45","714.45","702.45","707.00","706.25","707.61","42,02,878","2,97,39,90,326.70","1,10,805","16,68,519","39.70"
"RELIANCE","EQ","10-Jan-2012","706.25","712.00","739.00","712.00","734.35","736.20","727.18","45,07,724","3,27,79,27,433.60","99,465","17,08,335","37.90"
"RELIANCE","EQ","11-Jan-2012","736.20","737.90","753.00","731.50","747.85","748.25","743.19","48,42,143","3,59,86,38,050.55","1,12,553","21,80,554","45.03"
"RELIANCE","EQ","12-Jan-2012","748.25","747.50","752.95","732.60","740.00","736.90","741.89","32,51,624","2,41,23,43,827.40","88,335","11,50,517","35.38"
"RELIANCE","EQ","13-Jan-2012","736.90","742.00","750.95","728.10","731.95","731.80","738.89","46,92,930","3,46,75,52,023.80","95,577","21,95,829","46.79"
"RELIANCE","EQ","16-Jan-2012","731.80","729.95","729.95","711.00","715.25","712.95","717.18","40,67,488","2,91,71,01,480.50","1,03,688","20,87,348","51.32"
"RELIANCE","EQ","17-Jan-2012","712.95","716.00","744.40","716.00","740.30","742.05","734.03","51,97,636","3,81,52,21,131.10","1,16,216","24,14,189","46.45"
"RELIANCE","EQ","18-Jan-2012","742.05","762.00","787.90","758.05","773.65","779.75","773.10","92,48,756","7,15,02,12,525.80","1,97,483","38,17,807","41.28"
"RELIANCE","EQ","19-Jan-2012","779.75","789.00","795.95","782.10","784.40","785.65","788.82","54,83,508","4,32,55,08,057.90","1,35,544","27,46,438","50.09"
"RELIANCE","EQ","20-Jan-2012","785.65","790.00","800.00","772.05","794.10","792.65","785.32","72,51,864","5,69,50,66,280.75","1,38,261","41,21,594","56.83"
"RELIANCE","EQ","23-Jan-2012","792.65","755.30","779.75","755.20","772.00","771.55","769.60","64,57,585","4,96,97,42,299.15","1,19,581","26,54,054","41.10"
"RELIANCE","EQ","24-Jan-2012","771.55","774.60","791.60","770.40","781.50","783.75","783.24","50,95,499","3,99,09,89,476.55","85,976","25,58,787","50.22"
