"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"RELIANCE","EQ","09-Jan-2013","850.65","852.40","859.85","848.65","854.60","852.70","854.64","39,02,332","3,33,50,77,756.60","56,709","29,20,516","74.84"
"RELIANCE","EQ","10-Jan-2013","852.70","857.75","858.95","847.00","848.15","850.05","851.17","21,12,066","1,79,77,34,740.15","54,778","13,23,235","62.65"
"RELIANCE","EQ","11-Jan-2013","850.05","852.50","853.00","836.25","838.30","839.90","841.17","18,40,162","1,54,78,81,061.10","46,216","10,62,682","57.75"
"RELIANCE","EQ","14-Jan-2013","839.90","841.00","853.00","839.00","850.00","847.55","844.16","16,14,000","1,36,24,73,064.20","64,347","8,73,130","54.10"
"RELIANCE","EQ","15-Jan-2013","847.55","846.15","851.80","838.00","847.10","847.15","844.51","23,74,487","2,00,52,75,789.85","88,697","12,09,356","50.93"
"RELIANCE","EQ","16-Jan-2013","847.15","846.05","870.90","846.05","860.00","861.35","864.11","44,69,088","3,86,18,02,788.80","95,112","21,47,337","48.05"
"RELIANCE","EQ","17-Jan-2013","861.35","862.10","893.55","859.75","888.00","890.00","879.41","50,55,697","4,44,60,39,378.85","1,27,554","25,76,730","50.97"
"RELIANCE","EQ","18-Jan-2013","890.00","895.00","902.95","885.65","898.00","900.20","895.99","52,01,345","4,66,03,32,028.60","1,34,895","26,25,056","50.47"
"RELIANCE","EQ","21-Jan-2013","900.20","938.10","955.00","918.05","919.90","919.95","930.67","1,00,47,910","9,35,13,26,003.65","2,16,013","53,44,307","53.19"
"RELIANCE","EQ","22-Jan-2013","919.95","920.00","930.70","915.55","921.70","920.05","925.11","42,66,371","3,94,68,47,006.75","92,922","27,01,782","63.33"
"RELIANCE","EQ","23-Jan-2013","920.05","922.10","928.80","916.20","923.25","923.05","922.25","26,74,869","2,46,68,91,969.85","53,437","14,84,553","55.50"
"RELIANCE","EQ","24-Jan-2013","923.05","925.00","928.35","907.00","918.00","915.55","915.97","30,71,712","2,81,35,81,980.25","86,396","20,66,252","67.27"
"RELIANCE","EQ","25-Jan-2013","915.55","916.25","917.35","905.10","911.00","912.20","910.25","32,20,389","2,93,13,51,606.70","1,13,798","22,21,014","68.97"
"RELIANCE","EQ","28-Jan-2013","912.20","911.35","913.15","895.00","896.75","897.55","900.48","30,63,239","2,75,83,83,230.55","82,131","19,72,532","64.39"
"RELIANCE","EQ","29-Jan-2013","897.55","895.00","902.00","880.10","882.95","882.85","891.40","35,29,188","3,14,59,32,196.75","88,307","22,90,423","64.90"
"RELIANCE","EQ","30-Jan-2013","882.85","887.50","903.40","887.50","899.75","899.40","898.26","40,32,649","3,62,23,55,830.95","1,22,000","27,89,738","69.18"
"RELIANCE","EQ","31-Jan-2013","899.40","896.65","898.00","883.10","887.25","886.65","887.69","38,25,017","3,39,54,34,980.00","87,191","23,12,936","60.47"
"RELIANCE","EQ","01-Feb-2013","886.65","891.35","899.80","883.60","895.00","894.00","892.30","18,63,597","1,66,28,84,081.40","58,544","8,95,902","48.07"
"RELIANCE","EQ","04-Feb-2013","894.00","896.05","901.00","884.10","890.50","886.70","892.96","31,30,914","2,79,57,87,588.25","75,743","21,98,711","70.23"
"RELIANCE","EQ","05-Feb-2013","886.70","884.00","885.90","873.00","873.95","874.75","876.88","22,19,184","1,94,59,66,447.50","75,475","14,06,404","63.37"
"RELIANCE","EQ","06-Feb-2013","874.75","880.45","882.90","870.80","875.45","875.65","877.32","22,57,604","1,98,06,44,219.50","63,286","13,55,726","60.05"
"RELIANCE","EQ","07-Feb-2013","875.65","871.60","882.00","868.35","871.20","872.90","874.40","19,52,688","1,70,74,24,343.40","72,846","11,40,205","58.39"
"RELIANCE","EQ","08-Feb-2013","872.90","869.95","874.00","857.00","860.15","863.55","865.98","21,90,791","1,89,71,81,047.25","76,919","13,11,707","59.87"
"RELIANCE","EQ","11-Feb-2013","863.55","865.00","875.00","860.60","870.00","868.40","868.66","19,04,074","1,65,40,02,433.80","52,486","10,06,646","52.87"
"RELIANCE","EQ","12-Feb-2013","868.40","868.60","880.35","865.20","876.50","875.45","873.93","22,23,818","1,94,34,60,779.50","72,638","12,16,816","54.72"
"RELIANCE","EQ","13-Feb-2013","875.45","884.00","888.00","872.50","881.70","879.00","881.76","24,07,720","2,12,30,37,547.70","56,398","14,63,013","60.76"
"RELIANCE","EQ","14-Feb-2013","879.00","880.00","883.45","851.00","852.45","856.05","868.12","28,08,132","2,43,78,07,681.45","99,837","17,31,363","61.66"
