"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"RELIANCE","EQ","21-Jun-2011","833.25","839.90","855.00","837.30","848.95","848.65","848.14","39,80,489","3,37,59,95,989.65","1,02,793","17,98,284","45.18"
"RELIANCE","EQ","22-Jun-2011","848.65","853.35","858.15","834.15","846.70","845.80","842.78","45,96,259","3,87,36,41,071.85","96,249","23,43,085","50.98"
"RELIANCE","EQ","23-Jun-2011","845.80","846.55","872.70","845.90","870.75","870.50","863.74","47,34,842","4,08,96,71,955.10","1,23,526","24,67,225","52.11"
"RELIANCE","EQ","24-Jun-2011","870.50","874.15","879.70","855.60","868.50","871.40","866.87","72,39,303","6,27,55,62,491.75","1,50,708","42,91,032","59.27"
"RELIANCE","EQ","27-Jun-2011","871.40","866.70","881.80","861.85","872.00","871.55","874.41","32,80,025","2,86,80,96,068.75","88,833","17,44,078","53.17"
"RELIANCE","EQ","28-Jun-2011","871.55","878.90","878.90","862.00","871.50","871.10","868.86","23,36,039","2,02,96,89,884.50","63,762","10,63,116","45.51"
"RELIANCE","EQ","29-Jun-2011","871.10","875.70","888.00","872.10","887.00","885.25","879.81","28,41,435","2,49,99,31,599.05","78,475","16,60,105","58.42"
"RELIANCE","EQ","30-Jun-2011","885.25","888.70","902.00","887.00","895.05","898.50","895.72","49,70,476","4,45,21,50,133.25","90,446","29,33,798","59.02"
"RELIANCE","EQ","01-Jul-2011","898.50","907.00","907.00","856.70","859.90","861.95","870.02","65,55,284","5,70,32,25,532.90","1,28,948","36,50,883","55.69"
"RELIANCE","EQ","04-Jul-2011","861.95","874.40","879.40","865.00","868.60","868.40","870.02","37,71,511","3,28,12,79,979.50","1,01,705","22,79,704","60.45"
"RELIANCE","EQ","05-Jul-2011","868.40","869.30","869.30","844.00","845.40","845.95","853.31","77,27,430","6,59,39,02,628.25","1,52,680","49,13,321","63.58"
"RELIANCE","EQ","06-Jul-2011","845.95","848.85","858.50","840.70","852.55","852.90","850.04","61,43,838","5,22,25,35,137.25","1,67,251","31,14,346","50.69"
"RELIANCE","EQ","07-Jul-2011","852.90","858.00","874.90","855.25","871.90","870.70","864.21","46,03,204","3,97,81,26,225.65","1,51,607","25,39,009","55.16"
"RELIANCE","EQ","08-Jul-2011","870.70","873.00","874.00","852.00","854.30","854.85","858.61","47,85,969","4,10,92,76,894.80","82,105","29,72,609","62.11"
"RELIANCE","EQ","11-Jul-2011","854.85","854.00","859.95","847.00","852.80","853.30","854.56","21,94,126","1,87,50,22,038.25","60,289","8,85,377","40.35"
"RELIANCE","EQ","12-Jul-2011","853.30","847.50","857.40","845.70","847.50","847.75","849.72","29,86,757","2,53,79,04,916.80","84,280","16,68,966","55.88"
"RELIANCE","EQ","13-Jul-2011","847.75","853.05","869.70","851.10","867.60","865.45","860.62","38,92,719","3,35,01,51,754.75","95,561","21,35,723","54.86"
"RELIANCE","EQ","14-Jul-2011","865.45","863.30","877.90","859.35","864.90","867.55","867.88","30,43,021","2,64,09,91,101.90","87,903","13,86,733","45.57"
"RELIANCE","EQ","15-Jul-2011","867.55","867.70","876.00","865.00","872.50","873.20","871.34","23,32,976","2,03,28,18,027.00","97,923","11,68,716","50.10"
"RELIANCE","BL","15-Jul-2011","945.00","869.70","869.70","869.70","869.70","869.70","869.70","1,62,626","14,14,35,832.20","1","-","-"
"RELIANCE","EQ","18-Jul-2011","873.20","871.90","873.90","864.20","866.00","867.60","869.00","15,04,709","1,30,75,91,717.30","42,399","7,10,186","47.20"
"RELIANCE","EQ","19-Jul-2011","867.60","867.50","881.40","866.00","878.15","879.45","874.18","22,45,330","1,96,28,16,369.65","71,767","10,88,143","48.46"
"RELIANCE","EQ","20-Jul-2011","879.45","886.00","886.80","868.80","874.80","876.20","877.90","25,55,594","2,24,35,66,134.80","79,529","12,72,175","49.78"
"RELIANCE","EQ","21-Jul-2011","876.20","875.95","875.95","857.55","858.00","860.85","866.59","18,02,647","1,56,21,53,829.95","57,903","8,93,671","49.58"
"RELIANCE","EQ","22-Jul-2011","860.85","866.00","877.00","862.50","873.00","873.35","871.82","34,98,193","3,04,97,89,488.70","88,249","20,78,359","59.41"
"RELIANCE","EQ","25-Jul-2011","873.35","892.00","892.00","879.15","881.60","882.85","884.58","50,07,164","4,42,92,59,176.05","1,16,024","24,23,803","48.41"
"RELIANCE","EQ","26-Jul-2011","882.85","888.25","890.15","869.40","870.35","871.50","876.83","46,77,273","4,10,11,68,829.40","1,82,436","25,45,389","54.42"
"RELIANCE","EQ","27-Jul-2011","871.50","875.00","875.00","859.15","860.80","860.85","865.07","31,26,064","2,70,42,65,587.55","75,129","19,88,535","63.61"
"RELIANCE","EQ","28-Jul-2011","860.85","855.00","855.00","833.40","837.70","837.35","839.63","71,54,511","6,00,71,49,851.70","1,57,298","40,80,997","57.04"
