date,trend_score,sentiment_score,final_score,recommendation
2026-01-19,0.6355845190123858,0.5,0.5677922595061928,HOLD
2026-01-20,0.6130666232835815,0.5,0.5565333116417908,HOLD
2026-01-21,0.5714509023900307,0.5,0.5357254511950154,SELL
2026-01-21,0.5714509023900307,0.5,0.5357254511950154,SELL
2026-01-21,0.565023131710267,0.5,0.5325115658551335,SELL
2026-01-21,0.565023131710267,0.5,0.5325115658551335,SELL
2026-01-22,0.5874591444875402,0.5,0.54372957224377,HOLD
2026-01-23,0.6106511481451116,0.5,0.5553255740725558,HOLD
2026-01-27,0.6189469546190186,0.5,0.5594734773095094,HOLD
2026-01-28,0.5443735365128679,0.5,0.522186768256434,SELL
2026-01-29,0.5954253025305265,0.34326452016830444,0.4693449113494155,SELL
2026-01-30,0.5356540049152052,0.5,0.5178270024576026,SELL
2026-02-01,0.6098320862307559,0.5,0.5549160431153779,HOLD
2026-02-02,0.5654704822407867,0.7192700058221817,0.6423702440314842,BUY
2026-02-03,0.5377330994046724,0.975298672914505,0.7565158861595886,BUY
2026-02-04,0.5161863571501207,0.8987500667572021,0.7074682119536615,BUY
2026-02-05,0.5404574332713253,0.5,0.5202287166356627,SELL
2026-02-06,0.5071108386262981,0.924144983291626,0.715627910958962,BUY
2026-02-09,0.5070002520261722,0.5,0.503500126013086,SELL
2026-02-10,0.5331739777836357,0.5,0.5165869888918179,SELL
2026-02-11,0.5096144587247482,0.5,0.5048072293623741,SELL
2026-02-12,0.5019017169837651,0.5,0.5009508584918825,SELL
2026-02-13,0.5032515182075807,0.8878740519285202,0.6955627850680505,BUY
2026-02-16,0.5153050482259451,0.5,0.5076525241129726,SELL
