,Date,Close Price,RSI_14,EMA_12,EMA_26,MACD,Volume_Change,Target,dist_sma20,ret_1_z,vol_ratio
20,2011-06-29,885.25,48.51160686279945,880.678218716118,900.5330774067779,-19.854858690659967,0.21634741543270475,0,-0.017516016347912007,1.1555203030697394,1.2158077239093044
21,2011-06-30,898.5,53.356138469946515,883.4200312213306,900.3824790803499,-16.96244785901922,0.7492837245969026,0,0.00010574295557116623,1.0237038266565908,1.1898268621610377
22,2011-07-01,861.95,41.70041954353301,880.1169494949721,897.5356287781018,-17.418679283129677,0.318844311892865,0,-0.036682508682374555,-1.937587330422585,1.2426203422533728
23,2011-07-04,868.4,44.02428685538482,878.314341880361,895.377434053798,-17.063092173436985,-0.4246609300222538,1,-0.025698273879311766,0.5832509147933109,0.9901784869834689
24,2011-07-05,845.95,38.30155246809821,873.3352123603055,891.7161426424055,-18.380930282100053,1.0488949919541533,1,-0.04486897221375413,-1.057786958795218,1.0875422123842804
25,2011-07-06,852.9,40.864347058597694,870.191333535643,888.8408728170422,-18.649539281399143,-0.2049312643401493,1,-0.03175819497658581,0.7051708924657122,1.0800087905473061
26,2011-07-07,870.7,46.942934513293196,870.2695899147749,887.4971044602241,-17.227514545449253,-0.25076084362901496,0,-0.006855174459056888,1.2791192654100696,0.9807458022585333
27,2011-07-08,854.85,42.730923487285914,867.8973453125018,885.0788004261334,-17.181455113631614,0.039703867132545145,1,-0.019923127853684896,-0.6729699004074727,1.0128901110664903
28,2011-07-11,853.3,42.33091971784387,865.6515998798093,882.7248152093828,-17.073215329573486,-0.5415503109192725,1,-0.01762868943285988,0.10501820297654334,1.0287804544377592
29,2011-07-12,847.75,40.85614671800801,862.8975075906078,880.1340881568359,-17.2365805662281,0.361251359311179,1,-0.02043198054152128,-0.1581050862346393,1.0401995556684838
30,2011-07-13,865.45,47.17673733779136,863.2901987305144,879.0463779229963,-15.756179192481909,0.30332631680448063,1,0.002052270668160322,1.129684673133148,1.0341205267007039
31,2011-07-14,867.55,47.88830137059922,863.9455527719737,878.1947943731448,-14.249241601171093,-0.21827879176483067,1,0.00564811299703533,0.16997694550860373,1.0056127111018696
32,2011-07-15,873.2,49.84583662569045,865.3693138839778,877.8248096047637,-12.455495720785848,-0.2333355570007568,1,0.011936493220535483,0.3143053764044296,0.7840944359239399
33,2011-07-18,867.6,47.92427559639903,865.7124963633659,877.0674163007071,-11.354919937341265,-0.35502594111555374,0,0.0034495022365382067,-0.5090306543287321,0.9015362410334151
34,2011-07-19,879.45,52.129669895519015,867.8259584613095,877.2439039821363,-9.417945520826834,0.49220214672737383,0,0.015346516078195961,0.706323843743634,0.7595328327242605
35,2011-07-20,876.2,50.915249719529584,869.114272544185,877.1665777612374,-8.052305217052321,0.1381819153531998,1,0.009822197763570031,-0.3364334876316489,0.7662140834230642
36,2011-07-21,860.85,45.52128374779704,867.8428459989258,875.9579423715161,-8.115096372590301,-0.29462700256770047,1,-0.0073166934772455035,-1.0773082571845423,0.7860274470190968
37,2011-07-22,873.35,50.152450844921475,868.6901004606294,875.7647614551075,-7.0746609944781085,0.9405868148339636,0,0.006984379548998625,0.8813825418834866,0.7244146569859153
38,2011-07-25,882.85,53.39505448622981,870.8685465436095,876.2895939399144,-5.421047396304971,0.43135727502742127,0,0.017275301532797663,0.6169437673312584,0.7290432709461817
39,2011-07-26,871.5,49.27122801610332,870.965693229208,875.9348092036245,-4.969115974416468,-0.06588380168894004,0,0.004173976165991237,-0.781042051805704,0.7609217051639408
40,2011-07-27,860.85,45.70429623382635,869.4094327324068,874.8174159292819,-5.40798319687508,-0.33164816336356673,0,-0.0067010324147658,-0.6667569051805589,0.7139903097229163
41,2011-07-28,837.35,38.99583942224641,864.4772123120365,872.0420517863721,-7.564839474335599,1.2886642755874478,0,-0.030396016674386288,-1.4119621509205427,0.8489077953337247
42,2011-07-29,827.95,36.67683222979984,858.8576411871078,868.7759738762704,-9.91833268916264,-0.31648983417594856,0,-0.03938972038519542,-0.6359441377407644,0.9627945103774403
43,2011-08-01,830.85,37.90371832737743,854.5487733121681,865.9666424780282,-11.417869165860111,-0.33428108284744473,0,-0.0339206241697165,0.38568272808112036,0.9873017437805389
44,2011-08-02,837.3,40.657647532070605,851.8951158795268,863.8431874796557,-11.94807160012897,0.16350523393434968,0,-0.025930967088960977,0.6036890609315955,1.0060406256023224
