,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
1412,RELIANCE,EQ,2020-09-18,"2,298.75","2,314.25","2,319.45","2,276.55","2,303.60","2,305.70","2,305.10","1,52,64,101","35,18,52,52,645.85","2,19,641","63,40,779",41.54
1413,RELIANCE,EQ,2020-09-21,"2,305.70","2,300.00","2,336.00","2,247.35","2,250.00","2,255.85","2,291.38","1,55,19,433","35,56,09,77,455.15","3,42,489","50,46,850",32.52
1414,RELIANCE,EQ,2020-09-22,"2,255.85","2,277.00","2,277.00","2,201.55","2,220.05","2,211.15","2,225.36","1,60,56,621","35,73,17,08,478.55","3,48,897","61,38,633",38.23
1415,RELIANCE,EQ,2020-09-23,"2,211.15","2,260.00","2,276.75","2,205.30","2,228.00","2,230.80","2,242.58","1,98,39,809","44,49,22,65,342.30","3,84,190","37,49,875",18.90
1416,RELIANCE,EQ,2020-09-24,"2,230.80","2,207.90","2,226.00","2,176.05","2,195.00","2,181.20","2,200.65","1,37,65,321","30,29,26,05,688.25","3,28,090","40,92,237",29.73
1417,RELIANCE,EQ,2020-09-25,"2,181.20","2,189.00","2,212.80","2,167.30","2,198.85","2,201.70","2,191.17","1,30,95,950","28,69,54,71,561.35","3,29,859","27,93,738",21.33
1418,RELIANCE,EQ,2020-09-28,"2,201.70","2,227.00","2,238.00","2,207.05","2,218.00","2,216.25","2,221.39","90,76,787","20,16,30,62,603.55","2,13,955","16,10,375",17.74
1419,RELIANCE,EQ,2020-09-29,"2,216.25","2,225.00","2,264.00","2,216.25","2,241.90","2,245.05","2,242.30","1,19,27,459","26,74,49,67,680.50","2,69,649","23,01,443",19.30
1420,RELIANCE,EQ,2020-09-30,"2,245.05","2,260.00","2,267.00","2,225.00","2,231.00","2,234.35","2,251.01","1,12,91,280","25,41,67,40,703.85","2,32,560","27,77,751",24.60
1421,RELIANCE,EQ,2020-10-01,"2,234.35","2,263.80","2,263.80","2,214.00","2,229.05","2,225.25","2,237.62","95,91,467","21,46,20,14,627.70","2,37,645","23,56,434",24.57
1422,RELIANCE,EQ,2020-10-05,"2,225.25","2,244.00","2,249.15","2,206.00","2,215.00","2,212.20","2,222.94","87,32,890","19,41,26,49,755.80","2,37,138","16,71,283",19.14
1423,RELIANCE,EQ,2020-10-06,"2,212.20","2,225.25","2,233.90","2,201.65","2,213.00","2,210.35","2,213.64","84,97,352","18,81,00,40,908.25","2,30,575","25,65,411",30.19
1424,RELIANCE,EQ,2020-10-07,"2,210.35","2,235.00","2,309.00","2,220.00","2,259.40","2,257.50","2,276.27","2,45,38,620","55,85,64,95,761.45","5,42,898","31,67,121",12.91
1425,RELIANCE,EQ,2020-10-08,"2,257.50","2,259.00","2,268.00","2,222.10","2,241.50","2,239.25","2,242.24","97,27,508","21,81,14,37,285.25","2,51,543","27,61,519",28.39
1426,RELIANCE,EQ,2020-10-09,"2,239.25","2,235.00","2,253.00","2,217.10","2,239.00","2,233.45","2,232.05","85,58,747","19,10,35,82,648.40","2,15,729","29,08,038",33.98
1427,RELIANCE,EQ,2020-10-12,"2,233.45","2,235.00","2,255.75","2,226.25","2,236.00","2,237.05","2,239.55","65,65,525","14,70,38,04,367.10","1,46,831","18,68,691",28.46
1428,RELIANCE,EQ,2020-10-13,"2,237.05","2,230.60","2,285.75","2,225.85","2,279.00","2,280.70","2,259.76","1,06,66,280","24,10,32,09,104.25","2,55,851","34,49,962",32.34
