,Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,RSI_14,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,Volume_Change,future_return_3d,Target,ret_1,ret_1_z,SMA_20,dist_sma20,vol_10,vol_20,vol_ratio
0,2011-06-01,952.0,958.65,943.65,946.8,1838452.0,,946.8,946.8,0.0,0.0,0.0,,-0.009558512885509036,0,,,,,,,
1,2011-06-02,936.55,954.7,936.55,951.05,2152963.0,100.0,947.4538461538461,947.1148148148147,0.3390313390314077,0.06780626780628154,0.2712250712251262,0.17107381644992636,0.00757057988538988,1,0.0044888043937474364,,,,,,
2,2011-06-03,960.5,967.0,931.5,934.6,4368279.0,77.05718270571833,945.4763313609467,946.1877914951988,-0.7114601342520928,-0.08804701260539333,-0.6234131216466994,1.0289614823849735,0.015621656323560905,1,-0.01729667209925867,,,,,,
3,2011-06-06,934.65,940.8,928.15,937.75,1405741.0,78.09362835484538,944.287664997724,945.5627699029618,-1.2751049052377539,-0.3254585911318654,-0.9496463141058884,-0.6781934029396932,0.0173287123433751,1,0.003370425850631298,,,,,,
4,2011-06-07,933.55,960.0,933.55,958.25,4025919.0,83.36156230923004,946.4357165365357,946.5025647249647,-0.0668481884290486,-0.2737365105913021,0.2068883221622535,1.863912342316259,-0.014349073832507175,0,0.021860837110103892,,,,,,
5,2011-06-08,955.25,955.95,943.95,949.2,3247038.0,74.80887851432593,946.8609909155301,946.7023747453377,0.15861617019243113,-0.18726597443455548,0.34588214462698663,-0.1934666345746151,-0.024863042562157628,0,-0.009444299504304698,,,,,,
6,2011-06-09,947.5,957.85,947.0,954.0,2092020.0,76.20341095829471,947.9593000054485,947.2429395790164,0.7163604264321748,-0.006540694261209429,0.7229011206933842,-0.3557143464289608,-0.04470649895178195,0,0.005056890012642201,,,,,,
7,2011-06-10,955.1,956.0,932.05,944.5,2530136.0,68.16103538546989,947.4271000046103,947.0397588694595,0.38734113515079116,0.0722356716211907,0.31510546352960045,0.20942247206049647,-0.0465325569084172,0,-0.009958071278825975,,,,,,
8,2011-06-13,943.25,943.25,921.0,925.6,2954066.0,55.590980936825446,944.0690846192856,945.4516285828329,-1.3825439635472776,-0.218720255412503,-1.1638237081347746,0.16755225806043628,-0.04110847018150396,0,-0.020010587612493413,,,,,,
9,2011-06-14,925.3,931.75,910.0,911.35,4335560.0,48.35090196060257,939.0353792932417,942.9255820211416,-3.8902027278999185,-0.9530167499099861,-2.9371859779899325,0.4676584747937249,-0.04674384155373898,0,-0.01539541918755405,,,,,,
10,2011-06-15,912.0,918.9,898.6,900.55,4607486.0,43.70506165111812,933.1145517096661,939.7866500195755,-6.6720983099094155,-2.096833061909872,-4.5752652479995435,0.06271992545368987,-0.07473210815612677,0,-0.011850551379821272,,,,0.013159426407962077,,
11,2011-06-16,901.0,901.0,884.1,887.55,5707528.0,38.8642888155291,926.1046206774098,935.917268536644,-9.812647859234175,-3.639996021374733,-6.172651837859442,0.23875102387722946,-0.0438285167032843,0,-0.014435622675031956,,,,0.01301632924202662,,
12,2011-06-17,891.3,893.3,865.2,868.75,5035618.0,33.14659305881827,917.2808328808852,930.9419153117074,-13.661082430822148,-5.644213303264216,-8.016869127557932,-0.1177234697753563,-0.02641726618705041,0,-0.021181905244774923,,,,0.013415964459026274,,
13,2011-06-20,875.0,875.0,828.1,833.25,6926078.0,25.513567806449075,904.3530124376722,923.7054771404697,-19.352464702797533,-8.38586358317088,-10.966601119626654,0.37541767465284304,0.0447044704470447,1,-0.04086330935251803,,,,0.01648507255585001,,
14,2011-06-21,839.9,855.0,837.3,848.65,3980489.0,32.748535557357854,895.7833182164918,918.1458121671016,-22.362493950609746,-11.181189656658653,-11.181304293951094,-0.42528960834688834,0.02680728215400931,1,0.01848184818481835,,,,0.015740311709796846,,
15,2011-06-22,853.35,858.15,834.15,845.8,4596259.0,32.12661737994971,888.0935769524161,912.7868631176866,-24.69328616527048,-13.883608958381018,-10.80967720688946,0.15469707365100116,0.030444549538898087,1,-0.0033582749072056384,,,,0.01596445677774074,,
16,2011-06-23,846.55,872.7,845.9,870.5,4734842.0,42.34565875197707,885.3868728058906,909.6545028867469,-24.267630080856293,-15.960413182876074,-8.307216897980219,0.030151259970336852,0.0006892590465250117,1,0.02920312130527325,,,,0.02003029077376699,,
17,2011-06-24,874.15,879.7,855.6,871.4,7239303.0,42.684280348473315,883.235046220369,906.8208360062471,-23.58578978587809,-17.48548850347648,-6.100301282401613,0.5289428876401789,0.015893963736515977,1,0.0010338885697873668,,,,0.020268212526621122,,
18,2011-06-27,866.7,881.8,861.85,871.55,3280025.0,42.74463798655418,881.4373468018507,904.2081814872658,-22.77083468541514,-18.54255773986421,-4.2282769455509275,-0.5469142540379923,0.03092192071596586,1,0.00017213679137029203,,,,0.01992331757770523,,
19,2011-06-28,878.9,878.9,862.0,871.1,2336039.0,42.59970374446102,879.8469857554121,901.7557235993202,-21.908737843908057,-19.21579376067298,-2.6929440832350764,-0.2877984161706084,-0.010503960509700353,0,-0.0005163214961848572,,904.11,-0.0365110440101315,0.019682849992955765,,
20,2011-06-29,875.7,888.0,872.1,885.25,2841435.0,48.51160686279945,880.678218716118,900.5330774067779,-19.854858690659967,-19.34360674667038,-0.5112519439895884,0.21634741543270475,-0.01903417113809661,0,0.01624382964068416,1.1555203030697394,901.0325,-0.017516016347912007,0.020479284468955947,0.016844180264875205,1.2158077239093044
21,2011-06-30,888.7,902.0,887.0,898.5,4970476.0,53.356138469946515,883.4200312213306,900.3824790803499,-16.96244785901922,-18.867374969140148,1.9049271101209264,0.7492837245969026,-0.058486366165831895,0,0.01496752329850315,1.0237038266565908,898.4050000000001,0.00010574295557116623,0.02052992840365389,0.017254551108693374,1.1898268621610377
22,2011-07-01,907.0,907.0,856.7,861.95,6555284.0,41.70041954353301,880.1169494949721,897.5356287781018,-17.418679283129677,-18.577635831938053,1.1589565488083764,0.318844311892865,-0.010499448923951583,0,-0.04067890929326645,-1.937587330422585,894.7725,-0.036682508682374555,0.02360953732093692,0.01899979947062776,1.2426203422533728
23,2011-07-04,874.4,879.4,865.0,868.4,3771511.0,44.02428685538482,878.314341880361,895.377434053798,-17.063092173436985,-18.27472710023784,1.2116349268008548,-0.4246609300222538,0.002648549055734763,1,0.007483032658506694,0.5832509147933109,891.305,-0.025698273879311766,0.01891656572913418,0.019104197857057657,0.9901784869834689
24,2011-07-05,869.3,869.3,844.0,845.95,7727430.0,38.30155246809821,873.3352123603055,891.7161426424055,-18.380930282100053,-18.295967736610283,-0.08496254548976978,1.0488949919541533,0.01052071635439444,1,-0.02585214187010587,-1.057786958795218,885.6899999999999,-0.04486897221375413,0.02036414968585398,0.018724928057007095,1.0875422123842804
25,2011-07-06,848.85,858.5,840.7,852.9,6143838.0,40.864347058597694,870.191333535643,888.8408728170422,-18.649539281399143,-18.366682045568055,-0.2828572358310879,-0.2049312643401493,0.00046898815804898264,1,0.008215615580116964,0.7051708924657122,880.875,-0.03175819497658581,0.020488816122027704,0.018970971626670535,1.0800087905473061
26,2011-07-07,858.0,874.9,855.25,870.7,4603204.0,46.942934513293196,870.2695899147749,887.4971044602241,-17.227514545449253,-18.138848545544295,0.9113340000950423,-0.25076084362901496,-0.026358102676007862,0,0.020869973033180944,1.2791192654100696,876.7099999999998,-0.006855174459056888,0.019353532161940547,0.019733484576096902,0.9807458022585333
27,2011-07-08,873.0,874.0,852.0,854.85,4785969.0,42.730923487285914,867.8973453125018,885.0788004261334,-17.181455113631614,-17.94736985916176,0.7659147455301465,0.039703867132545145,0.01239983622857814,1,-0.01820374411393133,-0.6729699004074727,872.2275,-0.019923127853684896,0.020198433673716806,0.01994138698071552,1.0128901110664903
28,2011-07-11,854.0,859.95,847.0,853.3,2194126.0,42.33091971784387,865.6515998798093,882.7248152093828,-17.073215329573486,-17.77253895324411,0.6993236236706224,-0.5415503109192725,0.016699871088714405,1,-0.0018131835994619205,0.10501820297654334,868.6125,-0.01762868943285988,0.020187415073227934,0.01962266583326624,1.0287804544377592
29,2011-07-12,847.5,857.4,845.7,847.75,2986757.0,40.85614671800801,862.8975075906078,880.1340881568359,-17.2365805662281,-17.665347275840908,0.42876670961280894,0.361251359311179,0.030020642878207073,1,-0.006504160318762442,-0.1581050862346393,865.4325000000001,-0.02043198054152128,0.020229635441503947,0.01944784087943912,1.0401995556684838
30,2011-07-13,853.05,869.7,851.1,865.45,3892719.0,47.17673733779136,863.2901987305144,879.0463779229963,-15.756179192481909,-17.28351365916911,1.5273344666872006,0.30332631680448063,0.0024842567450459037,1,0.020878796815098744,1.129684673133148,863.6775,0.002052270668160322,0.020753806464440673,0.020069040241038807,1.0341205267007039
31,2011-07-14,863.3,877.9,859.35,867.55,3043021.0,47.88830137059922,863.9455527719737,878.1947943731448,-14.249241601171093,-16.676659247569507,2.427417646398414,-0.21827879176483067,0.013716788657714358,1,0.0024264833323703883,0.16997694550860373,862.6775,0.00564811299703533,0.01997458179146079,0.019863095972180236,1.0056127111018696
32,2011-07-15,867.7,876.0,865.0,873.2,2332976.0,49.84583662569045,865.3693138839778,877.8248096047637,-12.455495720785848,-15.832426542212776,3.376930821426928,-0.2333355570007568,0.0034356390288593675,1,0.006512592934124983,0.3143053764044296,862.9,0.011936493220535483,0.015161859506544133,0.01933677732157111,0.7840944359239399
33,2011-07-18,871.9,873.9,864.2,867.6,1504709.0,47.92427559639903,865.7124963633659,877.0674163007071,-11.354919937341265,-14.936925221238475,3.5820052838972103,-0.35502594111555374,-0.007780082987551867,0,-0.006413192853870875,-0.5090306543287321,864.6175,0.0034495022365382067,0.015179324045573522,0.01683717565050267,0.9015362410334151
34,2011-07-19,867.5,881.4,866.0,879.45,2245330.0,52.129669895519015,867.8259584613095,877.2439039821363,-9.417945520826834,-13.833129281156147,4.415183760329313,0.49220214672737383,-0.006936153277616717,0,0.013658367911479896,0.706323843743634,866.1575,0.015346516078195961,0.012626655179117378,0.016624238788767853,0.7595328327242605
35,2011-07-20,886.0,886.8,868.8,876.2,2555594.0,50.915249719529584,869.114272544185,877.1665777612374,-8.052305217052321,-12.676964468335381,4.6246592512830595,0.1381819153531998,0.007589591417484567,1,-0.003695491500369519,-0.3364334876316489,867.6775,0.009822197763570031,0.012742170821596871,0.016630039955244855,0.7662140834230642
36,2011-07-21,875.95,875.95,857.55,860.85,1802647.0,45.52128374779704,867.8428459989258,875.9579423715161,-8.115096372590301,-11.764590849186366,3.6494944765960646,-0.29462700256770047,0.012371493291514175,1,-0.017518831317050898,-1.0773082571845423,867.1949999999999,-0.0073166934772455035,0.012463502774393233,0.015856320058109153,0.7860274470190968
