Date,daily_sentiment_score,sentiment_score
2026-05-16,-0.9250205159187316,0.0374897420406341
2026-05-21,-0.7286787927150726,0.1356606036424636
2026-05-22,0.9282784461975098,0.9641392230987548
2026-05-27,0.9331071376800536,0.9665535688400269
2026-05-28,0.3778598487377166,0.6889299243688584
2026-05-29,0.0262914896011352,0.5131457448005676
2026-05-31,0.843772828578949,0.9218864142894744
2026-06-01,0.8424443602561951,0.9212221801280976
2026-06-03,0.7470319271087646,0.8735159635543823
2026-06-04,-0.4862971901893616,0.2568514049053192
2026-06-07,0.0,0.5
2026-06-09,0.0,0.5
2026-06-10,0.4570835937153209,0.7285417968576604
2026-06-11,0.9051339030265808,0.9525669515132904
2026-06-13,0.2906921029090881,0.645346051454544
2026-06-14,0.1675444057113246,0.5837722028556623
2026-06-15,0.2169398248195648,0.6084699124097824
